,0,1,2,3,4,5,6,7,8,9,train,mean
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
deepwalk,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.733333333333,0.4,1.0,0.333333333333,0.333333333333,0.471111111111,0.446666666667
