,size_8_nwalks_1_walklen_70.emd,size_8_nwalks_5_walklen_70.emd,size_32_nwalks_10_walklen_70.emd,size_32_nwalks_1_walklen_70.emd,size_8_nwalks_10_walklen_70.emd,size_32_nwalks_5_walklen_70.emd,size_128_nwalks_1_walklen_70.emd,size_128_nwalks_10_walklen_70.emd,size_128_nwalks_5_walklen_70.emd,size_2_nwalks_1_walklen_10.emd,size_8_nwalks_5_walklen_10.emd,size_8_nwalks_1_walklen_40.emd,size_8_nwalks_5_walklen_40.emd,size_8_nwalks_10_walklen_40.emd,size_8_nwalks_10_walklen_10.emd,size_32_nwalks_5_walklen_40.emd,size_32_nwalks_5_walklen_10.emd,size_32_nwalks_1_walklen_40.emd,size_32_nwalks_1_walklen_10.emd,size_128_nwalks_10_walklen_10.emd,size_32_nwalks_10_walklen_40.emd,size_128_nwalks_10_walklen_40.emd,size_2_nwalks_1_walklen_40.emd,size_128_nwalks_5_walklen_40.emd,size_128_nwalks_5_walklen_10.emd,size_128_nwalks_1_walklen_40.emd,size_128_nwalks_1_walklen_10.emd,size_32_nwalks_10_walklen_10.emd,size_2_nwalks_5_walklen_40.emd,size_2_nwalks_10_walklen_10.emd,size_8_nwalks_1_walklen_10.emd,size_2_nwalks_1_walklen_70.emd,size_2_nwalks_10_walklen_70.emd,size_2_nwalks_10_walklen_40.emd,size_2_nwalks_5_walklen_70.emd,size_2_nwalks_5_walklen_10.emd
size_2_nwalks_1_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.343436396138,0.343436396138,0.343436396138,0.417016276935,0.0841503080537,0.213960113174,0.357157253006,0.114939644348
size_128_nwalks_5_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.343436396138,0.343436396138,0.343436396138,0.417016276935,0.0841503080537,0.213960113174,0.357157253006,0.114939644348
size_128_nwalks_5_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.343436396138,0.343436396138,0.343436396138,0.417016276935,0.0841503080537,0.213960113174,0.357157253006,0.114939644348
size_128_nwalks_1_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.343436396138,0.343436396138,0.343436396138,0.417016276935,0.0841503080537,0.213960113174,0.357157253006,0.114939644348
size_128_nwalks_1_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.343436396138,0.343436396138,0.343436396138,0.417016276935,0.0841503080537,0.213960113174,0.357157253006,0.114939644348
size_32_nwalks_10_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343436396138,0.343436396138,0.343436396138,0.417016276935,0.0841503080537,0.213960113174,0.357157253006,0.114939644348
size_2_nwalks_5_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.657234674532,0.17268508963,0.487376668713,0.521706927081,0.213960113174
size_2_nwalks_10_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.657234674532,0.17268508963,0.17268508963,0.462036004631,0.0841503080537
size_8_nwalks_1_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657234674532,0.17268508963,0.487376668713,0.521706927081,0.213960113174
size_2_nwalks_1_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726314210889,0.79413903812,0.815127300662,0.506411834506
size_2_nwalks_10_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.925335540828,0.521706927081
size_2_nwalks_10_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90591362413,0.521706927081
size_2_nwalks_5_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757740072773
size_2_nwalks_5_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
