,size_8_nwalks_1_walklen_70.emd,size_8_nwalks_5_walklen_70.emd,size_8_nwalks_10_walklen_70.emd,size_32_nwalks_10_walklen_70.emd,size_32_nwalks_5_walklen_70.emd,size_32_nwalks_1_walklen_70.emd,size_128_nwalks_1_walklen_70.emd,size_128_nwalks_10_walklen_70.emd,size_128_nwalks_5_walklen_70.emd,size_32_nwalks_1_walklen_40.emd,size_32_nwalks_5_walklen_10.emd,size_32_nwalks_5_walklen_40.emd,size_8_nwalks_1_walklen_10.emd,size_8_nwalks_10_walklen_10.emd,size_8_nwalks_10_walklen_40.emd,size_8_nwalks_1_walklen_40.emd,size_8_nwalks_5_walklen_10.emd,size_8_nwalks_5_walklen_40.emd,size_32_nwalks_1_walklen_10.emd,size_128_nwalks_10_walklen_10.emd,size_32_nwalks_10_walklen_40.emd,size_128_nwalks_10_walklen_40.emd,size_2_nwalks_10_walklen_40.emd,size_128_nwalks_5_walklen_40.emd,size_128_nwalks_5_walklen_10.emd,size_128_nwalks_1_walklen_10.emd,size_32_nwalks_10_walklen_10.emd,size_2_nwalks_1_walklen_70.emd,size_2_nwalks_5_walklen_40.emd,size_2_nwalks_5_walklen_10.emd,size_2_nwalks_1_walklen_10.emd,size_128_nwalks_1_walklen_40.emd,size_2_nwalks_10_walklen_10.emd,size_2_nwalks_1_walklen_40.emd,size_2_nwalks_10_walklen_70.emd,size_2_nwalks_5_walklen_70.emd
size_8_nwalks_1_walklen_70.emd,0.0,0.757740072773,0.726314210889,0.44333185017,0.663584501434,0.30998232489,0.0224768133877,0.00963228602239,0.0327096985519,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00279416704455,0.00660838580481,0.00230669250654,0.00357940930856,0.00155674807227,0.00357940930856,0.000629036410156,0.00811902479539,0.00922542945546,0.001829320194
size_8_nwalks_5_walklen_70.emd,0.0,0.0,1.0,0.726314210889,0.75608435099,0.605930768632,0.0224039125433,0.0224768133877,0.0224768133877,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.0301643576657,0.000790409371014,0.0046313620689,0.00872385860217,0.0046313620689,0.000762064890724,0.0112457043407,0.0224039125433,0.0011767177268
size_8_nwalks_10_walklen_70.emd,0.0,0.0,0.0,0.678309741806,0.781563847195,0.605930768632,0.0224039125433,0.0224768133877,0.0224768133877,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.0301643576657,0.00632791500737,0.0046313620689,0.0046313620689,0.0046313620689,0.00491474638969,0.0112457043407,0.0224039125433,0.0011767177268
size_32_nwalks_10_walklen_70.emd,0.0,0.0,0.0,0.0,0.940131543148,0.888027864814,0.0487232332452,0.0224039125433,0.0730224250898,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0393221245108,0.00768793002772,0.0111492500133,0.0111492500133,0.0111492500133,0.00279416704455,0.0213212272645,0.0370894776001,0.00155674807227
size_32_nwalks_5_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,1.0,0.244333143867,0.0811261888458,0.104723195945,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0198949612599,0.0470518303784,0.00878765291057,0.0208878985577,0.040792476014,0.0208878985577,0.0130423807705,0.00872385860217,0.0355144036633,0.0300272178148
size_32_nwalks_1_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0860043678761,0.0743527477004,0.051003260707,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.00293801715788,0.0135863813645,0.00343888264168,0.00062997318997,0.00303041971972,0.00062997318997,0.00091925298894,0.0174388609083,0.00660838580481,0.000762064890724
size_128_nwalks_1_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678309741806,0.751693891347,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.177267702506,0.325046249611,0.0962503625116,0.17268508963,0.213432685979,0.17268508963,0.0487232332452,0.0946557058284,0.198842524189,0.109284601861
size_128_nwalks_10_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.367275688407,0.0847852127872,0.213960113174,0.213960113174,0.213960113174,0.0389898984299,0.114939644348,0.250036390328,0.105058153347
size_128_nwalks_5_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.412869679959,0.0847852127872,0.0841503080537,0.161893964194,0.0841503080537,0.0962503625116,0.244333143867,0.199908740783,0.078593815411
size_32_nwalks_1_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.793690573896,0.343436396138,0.343436396138,0.521706927081,0.343436396138,0.167850656057,0.343436396138,0.367275688407,0.251759476067
