,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
hybed,0.361395698427,0.931954435874,0.937405493058,0.932740811185,0.952357056858,0.949743589744,0.898084415584,0.912420634921,0.866666666667
poincare,0.340425531915,0.935650428754,0.941608695652,0.980778032037,1.0,1.0,1.0,0.971428571429,1.0
deepwalk2,0.340425531915,0.458557511313,0.427465993126,0.378082844575,0.382992225166,0.333333333333,0.359142156863,0.364873737374,0.333333333333
deepwalk4,0.340425531915,0.424741274956,0.437375861561,0.34375,0.354333384007,0.333333333333,0.336225490196,0.335353535354,0.333333333333
deepwalk8,0.340425531915,0.41487320343,0.402687415044,0.34375,0.346153846154,0.333333333333,0.352941176471,0.363636363636,0.333333333333
deepwalk16,0.340425531915,0.459142631405,0.414617049617,0.34375,0.346153846154,0.333333333333,0.352941176471,0.363636363636,0.333333333333
deepwalk32,0.340425531915,0.455582861205,0.454376664078,0.34375,0.346153846154,0.333333333333,0.352941176471,0.363636363636,0.333333333333
deepwalk64,0.340425531915,0.463633882592,0.43217080106,0.34375,0.346153846154,0.333333333333,0.352941176471,0.363636363636,0.333333333333
deepwalk128,0.340425531915,0.470655698106,0.510459285004,0.34375,0.346153846154,0.333333333333,0.352941176471,0.363636363636,0.333333333333
