,4,8,16,32,128,64
4,0.0,0.0834927569277,7.68804683936e-06,6.73538168073e-10,1.75383405503e-11,6.86972458665e-12
8,0.0,0.0,1.88236735773e-05,5.70516197978e-09,1.50587655083e-09,1.08815607164e-09
16,0.0,0.0,0.0,1.49879839244e-06,1.65183818862e-07,7.62053180382e-08
32,0.0,0.0,0.0,0.0,0.252875871973,0.0500360460487
128,0.0,0.0,0.0,0.0,0.0,0.181431621606
64,0.0,0.0,0.0,0.0,0.0,0.0
