,logistic,hyperbolic,deepwalk128,deepwalk32,deepwalk64,deepwalk4,deepwalk8,deepwalk16,deepwalk2
logistic,0.0,0.00425216179276,7.04515615437e-13,2.77436634304e-10,1.56922743502e-10,5.55545790198e-11,2.05788094412e-09,1.86380781833e-10,1.66939066905e-12
hyperbolic,0.0,0.0,2.17218888939e-11,2.11630177559e-10,1.83763426781e-10,1.90033614093e-11,9.56472541009e-10,1.20052862817e-10,2.99991825638e-11
deepwalk128,0.0,0.0,0.0,0.796410384283,0.559373849667,0.303736713252,0.474520901658,0.0148656793815,0.00202706748822
deepwalk32,0.0,0.0,0.0,0.0,0.816101192632,0.587374953686,0.551754443613,0.0962096678994,0.100421195409
deepwalk64,0.0,0.0,0.0,0.0,0.0,0.724673533373,0.704418773751,0.156832086444,0.00882412344834
deepwalk4,0.0,0.0,0.0,0.0,0.0,0.0,0.942920975031,0.0646751543823,0.0493001633781
deepwalk8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182009169458,0.163465461369
deepwalk16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800429335536
deepwalk2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
