,logistic,deepwalk2,hyperbolic,deepwalk64,deepwalk32,deepwalk4,deepwalk16,deepwalk8,deepwalk128
logistic,0.0,3.43819826036e-05,0.000149683029444,0.000284949322203,1.13523379703e-06,8.2669582703e-06,4.40075942721e-06,1.51500623545e-05,1.27525670109e-06
deepwalk2,0.0,0.0,0.690473361332,0.67009681124,0.299675263824,0.295698654427,0.166374174547,0.0102023187459,0.00325666142671
hyperbolic,0.0,0.0,0.0,0.92558623506,0.565909665937,0.426905706801,0.250198312344,0.0205773409218,0.0315763057195
deepwalk64,0.0,0.0,0.0,0.0,0.633392270467,0.524357974822,0.397580626068,0.00756296639698,0.0269966469715
deepwalk32,0.0,0.0,0.0,0.0,0.0,0.886117939022,0.451006542426,0.0991252885999,0.0170518588609
deepwalk4,0.0,0.0,0.0,0.0,0.0,0.0,0.620838955569,0.0796088425426,0.121683629053
deepwalk16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26270570217,0.204179872722
deepwalk8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.787087624803
deepwalk128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
