,logistic,deepwalk8,deepwalk32,deepwalk2,hyperbolic,deepwalk64,deepwalk128,deepwalk4,deepwalk16
logistic,0.0,9.95361226906e-05,9.08198030778e-05,0.000230278400167,4.55554971198e-05,8.45875420567e-06,4.78483556818e-06,6.00594443252e-06,0.000101274678491
deepwalk8,0.0,0.0,0.39933209815,0.359320814286,0.392419636053,0.290458659687,0.176135730065,0.247148140614,0.121460591488
deepwalk32,0.0,0.0,0.0,0.971163308893,0.789861128854,0.841102240801,0.743725374287,0.688802738385,0.514488161735
deepwalk2,0.0,0.0,0.0,0.0,0.913564636687,0.801810762754,0.615953424998,0.720249377885,0.353081620911
hyperbolic,0.0,0.0,0.0,0.0,0.0,0.979495164838,0.894825116707,0.779122432732,0.74340507454
deepwalk64,0.0,0.0,0.0,0.0,0.0,0.0,0.802929346505,0.763134855231,0.677296289023
deepwalk128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89712056172,0.735983203051
deepwalk4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856638618743
deepwalk16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
