,0,1,train,mean
logistic,0.491803278689,0.466666666667,0.801652892562,0.479234972678
hyp embedding,0.27868852459,0.3,0.396694214876,0.289344262295
deepwalk,0.180327868852,0.2,0.355371900826,0.190163934426
