,0,1,train,mean
logistic,0.279684181365,0.348558699365,0.659523809524,0.314121440365
hyp embedding,0.06336996337,0.0730266343826,0.158239728451,0.0681982988763
deepwalk,0.0594532152484,0.0603575528949,0.104918890633,0.0599053840716
