,0,1,train,mean
logistic,0.0457659987072,0.0490842490842,0.118376068376,0.0474251238957
hyp embedding,0.0284798534799,0.0303232998885,0.0374169963387,0.0294015766842
deepwalk,0.00842992623815,0.00732600732601,0.016625155239,0.00787796678208
