,0,1,train,mean
deepwalk,0.259410195004,0.264273528611,0.380498285944,0.261841861807
logistic,0.236704179688,0.233052001954,0.914384495362,0.234878090821
hyp embedding,0.0325277898863,0.0327561621993,0.0336235126951,0.0326419760428
