,0,1,train,mean
logistic,0.356347438753,0.371640153593,0.904600718431,0.363993796173
hyp embedding,0.170354906054,0.169386915375,0.170765404808,0.169870910715
deepwalk,0.175224913495,0.161357054199,0.168693009119,0.168290983847
