,0,1,train,mean
deepwalk,0.389686773355,0.394556873692,0.464423873998,0.392121823523
logistic,0.357836338419,0.35810624828,0.904600718431,0.357971293349
hyp embedding,0.175013758943,0.164261931188,0.172423321359,0.169637845065
