,0,1,2,3,4,5,6,7,8,9,train,mean
logistic,0.916666666667,0.916666666667,0.75,0.833333333333,0.916666666667,1.0,0.909090909091,1.0,0.818181818182,0.818181818182,0.965217391304,0.887878787879
hyperbolic,0.0833333333333,0.0833333333333,0.25,0.0833333333333,0.0,0.181818181818,0.181818181818,0.0,0.272727272727,0.181818181818,0.217391304348,0.131818181818
deepwalk8,0.0833333333333,0.0,0.0,0.0833333333333,0.0,0.363636363636,0.0,0.181818181818,0.0909090909091,0.0,0.147826086957,0.080303030303
deepwalk64,0.0,0.0833333333333,0.0833333333333,0.0833333333333,0.25,0.0,0.0,0.0909090909091,0.0909090909091,0.0,0.113043478261,0.0681818181818
deepwalk4,0.0833333333333,0.0833333333333,0.0833333333333,0.0,0.0,0.0,0.0,0.0909090909091,0.0909090909091,0.0909090909091,0.139130434783,0.0522727272727
deepwalk32,0.0833333333333,0.0,0.0833333333333,0.0,0.0833333333333,0.0,0.0909090909091,0.0,0.0909090909091,0.0909090909091,0.113043478261,0.0522727272727
deepwalk2,0.0,0.0,0.0833333333333,0.0,0.0,0.0,0.181818181818,0.0,0.0,0.181818181818,0.104347826087,0.044696969697
deepwalk16,0.0,0.0833333333333,0.0,0.0833333333333,0.0833333333333,0.0,0.0,0.0,0.0909090909091,0.0,0.121739130435,0.0340909090909
deepwalk128,0.0,0.0833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.0,0.113043478261,0.0174242424242
