,logistic,hyperbolic,deepwalk8,deepwalk64,deepwalk4,deepwalk32,deepwalk2,deepwalk16,deepwalk128
logistic,0.0,1.07685728214e-07,5.32340578488e-10,3.07352120285e-09,1.04529391703e-09,2.1100757448e-09,7.5626248992e-09,6.17275839833e-10,3.1340750174e-10
hyperbolic,0.0,0.0,0.312015940314,0.207100530068,0.0308765565933,0.017759555139,0.0170475188091,0.0222343264055,0.00366518862542
deepwalk8,0.0,0.0,0.0,0.812807903255,0.525036138369,0.561709478541,0.514498800519,0.308213436222,0.153650183532
deepwalk64,0.0,0.0,0.0,0.0,0.611157147299,0.584625904989,0.583515900375,0.101110229151,0.0785176692254
deepwalk4,0.0,0.0,0.0,0.0,0.0,1.0,0.793690573896,0.416389291595,0.0370205411952
deepwalk32,0.0,0.0,0.0,0.0,0.0,0.0,0.721263731381,0.416389291595,0.09837145263
deepwalk2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.758803341607,0.38652426495
deepwalk16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167850656057
deepwalk128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
