,hyperbolic,logistic,deepwalk4,deepwalk8,deepwalk64,deepwalk128,deepwalk32,deepwalk2,deepwalk16
hyperbolic,0.0,0.913541359323,1.20322517359e-05,1.61981075484e-05,0.000223307287678,1.49163233362e-05,0.000141509889295,0.000111639750304,3.54819650239e-07
logistic,0.0,0.0,1.43008740617e-06,0.000121871105009,0.000998131984218,0.000225474534786,0.000499471740543,2.93671608204e-05,4.29040089077e-05
deepwalk4,0.0,0.0,0.0,0.966455704337,0.962476697905,0.909492743887,0.913874750454,0.824828924627,0.36331411385
deepwalk8,0.0,0.0,0.0,0.0,0.982155166458,0.936119512022,0.939865873625,0.856091960399,0.540747377352
deepwalk64,0.0,0.0,0.0,0.0,0.0,0.96280929736,0.951359110467,0.890493391739,0.537349685434
deepwalk128,0.0,0.0,0.0,0.0,0.0,0.0,0.976078216457,0.934708317608,0.478357586033
deepwalk32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.948840870855,0.608085855665
deepwalk2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636773764097
deepwalk16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
