,0,1,2,3,4,5,6,7,8,9,train,mean
hyperbolic,0.472222222222,0.611111111111,0.6,0.603988603989,0.557692307692,0.525252525253,0.619047619048,0.6,0.636363636364,0.641025641026,0.609579100145,0.58667036667
logistic,0.62962962963,0.509090909091,0.460317460317,0.468253968254,0.666666666667,0.641025641026,0.666666666667,0.555555555556,0.592592592593,0.619047619048,0.757170418578,0.580884670885
deepwalk2,0.388888888889,0.333333333333,0.214814814815,0.261904761905,0.190476190476,0.388888888889,0.190476190476,0.4329004329,0.222222222222,0.25,0.319010123735,0.287390572391
deepwalk4,0.177777777778,0.177777777778,0.142857142857,0.208333333333,0.363636363636,0.222222222222,0.371428571429,0.444444444444,0.190476190476,0.25,0.305835543767,0.254895382395
deepwalk8,0.235294117647,0.177777777778,0.208333333333,0.208333333333,0.177777777778,0.190476190476,0.190476190476,0.25,0.190476190476,0.4,0.212121212121,0.22289449113
deepwalk128,0.208333333333,0.259259259259,0.235294117647,0.208333333333,0.235294117647,0.190476190476,0.222222222222,0.190476190476,0.153846153846,0.190476190476,0.212121212121,0.209401110872
deepwalk64,0.208333333333,0.259259259259,0.208333333333,0.208333333333,0.177777777778,0.25,0.222222222222,0.153846153846,0.274509803922,0.111111111111,0.212121212121,0.207372632814
deepwalk32,0.208333333333,0.259259259259,0.235294117647,0.208333333333,0.259259259259,0.222222222222,0.190476190476,0.222222222222,0.153846153846,0.111111111111,0.212121212121,0.207035720271
deepwalk16,0.142857142857,0.208333333333,0.177777777778,0.208333333333,0.208333333333,0.153846153846,0.274509803922,0.190476190476,0.222222222222,0.190476190476,0.212121212121,0.197716548158
