,0,1,2,3,4,5,6,7,8,9,train,mean
hyperbolic,0.909090909091,0.818181818182,0.818181818182,0.727272727273,1.0,1.0,0.9,0.8,0.9,0.7,0.857142857143,0.857272727273
logistic,0.909090909091,0.909090909091,0.636363636364,1.0,0.909090909091,0.8,0.7,0.8,0.8,0.8,0.904761904762,0.826363636364
deepwalk16,0.363636363636,0.636363636364,0.363636363636,0.181818181818,0.363636363636,0.6,0.5,0.6,0.7,0.4,0.466666666667,0.470909090909
deepwalk32,0.454545454545,0.636363636364,0.454545454545,0.181818181818,0.545454545455,0.4,0.4,0.7,0.4,0.5,0.466666666667,0.467272727273
deepwalk64,0.545454545455,0.545454545455,0.454545454545,0.272727272727,0.727272727273,0.4,0.3,0.6,0.5,0.3,0.466666666667,0.464545454545
deepwalk128,0.636363636364,0.363636363636,0.636363636364,0.545454545455,0.454545454545,0.3,0.3,0.7,0.5,0.2,0.466666666667,0.463636363636
deepwalk8,0.272727272727,0.636363636364,0.181818181818,0.272727272727,0.545454545455,0.4,0.4,0.6,0.4,0.5,0.466666666667,0.420909090909
deepwalk2,0.454545454545,0.363636363636,0.454545454545,0.545454545455,0.272727272727,0.6,0.3,0.4,0.4,0.3,0.485714285714,0.409090909091
deepwalk4,0.272727272727,0.272727272727,0.454545454545,0.363636363636,0.545454545455,0.2,0.5,0.4,0.6,0.4,0.514285714286,0.400909090909
