,hyperbolic,logistic,deepwalk16,deepwalk32,deepwalk64,deepwalk128,deepwalk8,deepwalk2,deepwalk4
hyperbolic,0.0,0.542319091526,3.57594124167e-05,5.15630119378e-05,6.03549508419e-06,0.000162722405495,3.12621206203e-05,4.28247707004e-06,8.45795093453e-06
logistic,0.0,0.0,0.000658214418735,0.000236317725618,7.39169693851e-05,0.000227207417485,2.70761720469e-05,6.0084454459e-06,6.14857911624e-05
deepwalk16,0.0,0.0,0.0,0.941563017984,0.917309533284,0.929985326543,0.325052573399,0.36213307959,0.306896888661
deepwalk32,0.0,0.0,0.0,0.0,0.943881842356,0.957737559685,0.206144149927,0.420246974576,0.311218874647
deepwalk64,0.0,0.0,0.0,0.0,0.0,0.986697538578,0.411462198649,0.416478042153,0.290961357721
deepwalk128,0.0,0.0,0.0,0.0,0.0,0.0,0.615602776872,0.34484643187,0.3506989242
deepwalk8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.872242862883,0.756042867832
deepwalk2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904793730122
deepwalk4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
